                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.1916,                 110.78,                 2.8764,                  4e-05,                 0.0082,                  2e-05,                  1e-05,                 6.0283,                   12.5,                 4.1643,                  0.091,                  0.001,                  0.001
                      1,                 4.4264,                 65.458,                 3.2098,                  4e-05,                 0.0082,                  2e-05,                  1e-05,                 5.9512,                 4.9155,                 4.1625,               0.081079,              0.0020792,              0.0020792
                      2,                 4.0679,                 10.643,                 2.9507,                  4e-05,                 0.0082,                  2e-05,                  1e-05,                 5.8749,                 5.2055,                  4.146,               0.071137,              0.0031366,              0.0031366
                      3,                 3.3537,                 4.8334,                 2.1943,                  4e-05,                 0.0082,                  2e-05,                  1e-05,                 5.8351,                 5.5534,                 4.1307,               0.061172,              0.0041723,              0.0041723
                      4,                 4.9146,                 5.0689,                 3.1648,                  4e-05,                 0.0082,                  2e-05,                  1e-05,                 5.8159,                 5.7336,                 4.1316,               0.051186,              0.0051862,              0.0051862
                      5,                 4.8323,                 4.5076,                 2.9142,                  4e-05,                 0.0082,                  2e-05,                  1e-05,                  5.806,                  5.835,                 4.1382,               0.041178,              0.0061782,              0.0061782
                      6,                 4.7886,                 3.9766,                 3.0594,                  4e-05,                 0.0082,                  2e-05,                  1e-05,                 5.8012,                 5.8984,                 4.1459,               0.031149,              0.0071486,              0.0071486
                      7,                 4.3855,                 4.0113,                 2.6384,                  4e-05,                 0.0082,                  2e-05,                  1e-05,                  5.795,                  5.981,                  4.156,               0.021097,              0.0080971,              0.0080971
                      8,                 4.3675,                 3.4021,                 2.2635,                  4e-05,                 0.0082,                  2e-05,                  1e-05,                 5.7943,                 6.0191,                 4.1645,               0.011024,              0.0090238,              0.0090238
                      9,                 3.9578,                  3.775,                 1.9232,                  4e-05,                 0.0082,                  2e-05,                  1e-05,                 5.7908,                 6.0282,                  4.159,               0.009109,               0.009109,               0.009109
                     10,                 3.8707,                 3.4892,                  1.805,                0.00695,                0.09836,                0.00393,                0.00126,                 4.3555,                 4.8047,                 3.3119,               0.009109,               0.009109,               0.009109
                     11,                 3.9063,                 3.5111,                 1.8347,                0.00188,                0.10656,                0.00121,                0.00055,                  3.892,                    inf,                 8.2665,                0.00901,                0.00901,                0.00901
                     12,                 3.9228,                 3.5829,                 1.9113,                0.00083,                0.11475,                0.00042,                0.00011,                  4.466,                    inf,                 17.752,               0.008911,               0.008911,               0.008911
                     13,                 3.9745,                 3.3516,                 1.9814,                  6e-05,                0.01639,                  3e-05,                      0,                 4.0713,                    inf,                 19.281,               0.008812,               0.008812,               0.008812
                     14,                 3.9127,                  3.298,                 1.7738,                  6e-05,                0.01639,                  3e-05,                      0,                 5.3507,                    inf,                 24.652,               0.008713,               0.008713,               0.008713
                     15,                 3.6568,                 3.2379,                 1.6315,                0.00041,                0.05738,                0.00017,                  4e-05,                 5.2493,                    inf,                 7.5839,               0.008614,               0.008614,               0.008614
                     16,                 3.7813,                 3.4451,                 1.7128,                0.01435,                0.12295,                0.00561,                0.00149,                 4.0114,                 156.75,                 5.4458,               0.008515,               0.008515,               0.008515
                     17,                 3.7744,                 3.2167,                 1.6431,                0.00739,                0.21311,                0.00391,                0.00107,                 3.9449,                 328.85,                 4.6771,               0.008416,               0.008416,               0.008416
                     18,                 3.4735,                 2.9519,                 1.5395,                0.01926,                0.18852,                0.00834,                0.00226,                  3.779,                 142.66,                 5.5202,               0.008317,               0.008317,               0.008317
                     19,                  3.537,                 2.7292,                 1.5802,                0.14286,                0.07377,                 0.0336,                0.00718,                 3.9633,                 23.077,                 4.6963,               0.008218,               0.008218,               0.008218
                     20,                 3.3785,                 2.7005,                 1.4814,                0.06305,                0.59016,                0.04566,                0.01377,                  3.395,                 150.26,                 5.8871,               0.008119,               0.008119,               0.008119
                     21,                 3.2834,                 2.6135,                 1.5134,                0.13019,                0.40164,                0.13591,                0.04444,                 3.2131,                 6.4121,                 4.2433,                0.00802,                0.00802,                0.00802
                     22,                 3.3495,                 2.7217,                 1.4941,                0.16796,                0.19857,                0.11937,                0.04305,                 3.2001,                 5.7022,                 2.8603,               0.007921,               0.007921,               0.007921
                     23,                 3.0827,                 2.5266,                 1.4196,                0.41667,                0.12295,                0.11192,                0.03247,                 3.2742,                 9.3005,                 3.1463,               0.007822,               0.007822,               0.007822
