                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6718,                 2.2037,                 2.1704,                0.31982,                0.52459,                0.27453,                0.13011,                 1.8382,                 4.7231,                  1.499,             0.00065986,             0.00065986,             0.00065986
                      2,                 2.4145,                 1.8328,                 1.9511,                0.29889,                0.46721,                0.26818,                0.12574,                 1.8312,                 2.5422,                 1.4294,              0.0013222,              0.0013222,              0.0013222
                      3,                 2.2524,                 1.7381,                 1.7888,                0.45729,                0.72131,                0.43014,                0.21188,                 1.7138,                 2.3308,                 1.3816,                0.00198,                0.00198,                0.00198
                      4,                 2.1596,                 1.6031,                 1.7124,                0.49415,                0.82787,                0.51983,                0.23512,                 1.7784,                 1.5975,                 1.3385,              0.0019802,              0.0019802,              0.0019802
                      5,                 2.0569,                 1.5181,                 1.6694,                0.56267,                 0.7459,                0.60935,                 0.2633,                 1.9451,                 1.4863,                 1.4088,              0.0019802,              0.0019802,              0.0019802
                      6,                 2.0128,                 1.4445,                 1.6133,                 0.7242,                0.71026,                0.76187,                0.39193,                 1.6373,                 1.9382,                  1.324,              0.0019736,              0.0019736,              0.0019736
                      7,                 1.9659,                 1.4205,                 1.5891,                0.60352,                0.72951,                0.66239,                0.32352,                 1.7893,                 1.4389,                 1.3288,               0.001967,               0.001967,               0.001967
                      8,                   1.93,                 1.3533,                 1.5456,                0.51777,                0.82787,                0.61104,                0.27728,                 1.9552,                 1.4065,                 1.3741,              0.0019604,              0.0019604,              0.0019604
                      9,                 1.9106,                  1.289,                  1.517,                0.52946,                0.75632,                0.57171,                0.27365,                 1.7478,                 1.3582,                 1.3448,              0.0019538,              0.0019538,              0.0019538
                     10,                 1.8974,                  1.282,                 1.5251,                 0.4902,                0.81967,                 0.5719,                0.29449,                 1.6608,                 1.9836,                 1.2818,              0.0019472,              0.0019472,              0.0019472
                     11,                 1.8272,                 1.2433,                 1.4726,                0.51168,                0.86885,                 0.5319,                0.27057,                  1.592,                 1.5231,                  1.276,              0.0019406,              0.0019406,              0.0019406
                     12,                 1.8246,                 1.2479,                 1.5032,                0.45965,                0.82787,                0.61528,                0.30524,                 1.6912,                 1.6638,                 1.3166,               0.001934,               0.001934,               0.001934
                     13,                 1.8207,                 1.2504,                 1.4891,                0.48527,                0.79595,                0.53131,                0.26654,                 1.6396,                 2.0661,                 1.3216,              0.0019274,              0.0019274,              0.0019274
                     14,                 1.7553,                 1.1713,                 1.4337,                0.54273,                0.88525,                0.67677,                0.35294,                 1.6131,                 1.3966,                 1.2874,              0.0019208,              0.0019208,              0.0019208
                     15,                 1.7496,                  1.129,                 1.4199,                0.60496,                0.75313,                 0.7039,                0.38947,                 1.6151,                 1.2243,                 1.2683,              0.0019142,              0.0019142,              0.0019142
                     16,                 1.7309,                 1.1388,                  1.418,                0.50032,                0.75507,                0.60585,                0.29841,                 1.7612,                 1.4283,                 1.2776,              0.0019076,              0.0019076,              0.0019076
                     17,                 1.7472,                  1.142,                 1.4233,                0.49765,                0.69021,                0.54572,                0.28753,                  1.684,                 1.5205,                 1.2838,               0.001901,               0.001901,               0.001901
                     18,                  1.707,                 1.0825,                 1.3946,                 0.5972,                0.71311,                0.71234,                0.36016,                 1.6691,                 1.4449,                 1.2966,              0.0018944,              0.0018944,              0.0018944
                     19,                 1.6889,                 1.0867,                 1.3909,                0.45995,                0.85169,                0.50853,                0.24667,                 1.7369,                 1.3741,                 1.2805,              0.0018878,              0.0018878,              0.0018878
                     20,                 1.6741,                 1.0787,                 1.3971,                0.51368,                0.80517,                0.54654,                0.25541,                 1.8775,                 1.4484,                 1.3679,              0.0018812,              0.0018812,              0.0018812
                     21,                 1.6954,                  1.049,                 1.3902,                0.59185,                0.72504,                0.66962,                0.33417,                  1.698,                 1.5389,                 1.2706,              0.0018746,              0.0018746,              0.0018746
                     22,                 1.6936,                 1.0727,                 1.4135,                0.54374,                0.77869,                0.53595,                 0.2896,                 1.5995,                 1.4047,                 1.2572,               0.001868,               0.001868,               0.001868
                     23,                 1.6507,                 1.0193,                  1.374,                0.53822,                0.77049,                0.60581,                0.30057,                  1.743,                 1.4427,                 1.2981,              0.0018614,              0.0018614,              0.0018614
                     24,                 1.6506,                 1.0243,                 1.3619,                0.50905,                 0.7623,                0.58278,                0.30724,                 1.5892,                 1.5329,                 1.2564,              0.0018548,              0.0018548,              0.0018548
                     25,                 1.6382,                 1.0105,                 1.3645,                0.47732,                0.82787,                0.56374,                0.29312,                 1.6888,                 1.3721,                 1.2827,              0.0018482,              0.0018482,              0.0018482
                     26,                 1.6222,                0.98587,                 1.3398,                0.46633,                0.80328,                0.47147,                0.23783,                  1.723,                 1.7295,                 1.3167,              0.0018416,              0.0018416,              0.0018416
                     27,                 1.6315,                 0.9812,                 1.3516,                0.44315,                0.84426,                0.49591,                0.26378,                 1.6576,                 1.4868,                 1.2826,               0.001835,               0.001835,               0.001835
                     28,                 1.6241,                 0.9796,                 1.3532,                0.45204,                0.85246,                0.48943,                0.26177,                 1.6649,                 1.5859,                 1.2705,              0.0018284,              0.0018284,              0.0018284
                     29,                 1.6066,                0.97001,                 1.3468,                0.47335,                0.83249,                0.64485,                0.34607,                 1.6777,                 1.4308,                 1.2562,              0.0018218,              0.0018218,              0.0018218
                     30,                 1.5827,                0.93587,                 1.3113,                0.47969,                0.82787,                0.48665,                0.24621,                 1.6432,                 1.6591,                 1.2694,              0.0018152,              0.0018152,              0.0018152
                     31,                 1.5891,                0.95822,                 1.3294,                0.51351,                0.72951,                0.58278,                0.29505,                 1.7598,                 1.5482,                 1.2925,              0.0018086,              0.0018086,              0.0018086
                     32,                  1.604,                0.95931,                 1.3148,                0.47867,                0.82787,                 0.5573,                0.29622,                 1.6204,                 1.5649,                 1.2641,               0.001802,               0.001802,               0.001802
                     33,                 1.5888,                0.91678,                 1.3256,                0.54362,                0.78109,                0.68783,                0.34211,                 1.7521,                 1.3415,                 1.2619,              0.0017954,              0.0017954,              0.0017954
                     34,                 1.5694,                0.93725,                 1.3343,                0.52164,                0.79551,                0.54986,                0.28612,                 1.6602,                 1.4398,                  1.251,              0.0017888,              0.0017888,              0.0017888
                     35,                 1.5983,                0.96539,                  1.313,                0.45364,                0.85246,                0.58359,                0.27061,                 1.8356,                 1.5003,                 1.3115,              0.0017822,              0.0017822,              0.0017822
                     36,                  1.582,                 0.8938,                 1.3049,                0.47679,                0.79508,                0.51165,                0.26715,                 1.6768,                 1.5578,                 1.2859,              0.0017756,              0.0017756,              0.0017756
                     37,                 1.5751,                0.93063,                 1.3239,                0.47712,                0.77049,                0.52599,                0.28309,                 1.6159,                 1.5372,                 1.2498,               0.001769,               0.001769,               0.001769
                     38,                 1.5649,                0.92785,                 1.3004,                0.45521,                0.83607,                0.43923,                0.18252,                 1.8813,                 1.8681,                 1.3104,              0.0017624,              0.0017624,              0.0017624
                     39,                 1.5642,                0.89919,                 1.2957,                0.55436,                0.77869,                0.61994,                0.32075,                 1.6337,                 1.4675,                  1.257,              0.0017558,              0.0017558,              0.0017558
                     40,                 1.5455,                0.88182,                 1.2928,                0.58974,                0.73053,                0.64994,                0.31053,                 1.6848,                 1.3613,                 1.2831,              0.0017492,              0.0017492,              0.0017492
                     41,                 1.5626,                0.87834,                 1.3061,                0.46931,                0.76836,                0.47415,                0.21746,                 1.9103,                 1.7421,                 1.3535,              0.0017426,              0.0017426,              0.0017426
                     42,                 1.5768,                0.90414,                 1.3204,                0.43406,                0.84871,                0.43153,                0.22244,                 1.6813,                 1.6059,                 1.2669,               0.001736,               0.001736,               0.001736
                     43,                 1.5603,                0.89771,                 1.3002,                0.51133,                0.79508,                0.51297,                0.26639,                 1.7273,                 1.6177,                 1.2571,              0.0017294,              0.0017294,              0.0017294
                     44,                  1.548,                0.86833,                  1.314,                0.48889,                0.77869,                0.49029,                0.26609,                  1.624,                  1.698,                  1.236,              0.0017228,              0.0017228,              0.0017228
                     45,                 1.5447,                0.89044,                 1.3084,                0.43559,                0.88525,                0.46613,                0.25795,                 1.6079,                  1.605,                 1.2479,              0.0017162,              0.0017162,              0.0017162
